,uid_x,domainID_x,siteID_x,namedLocation_x,collectDate_x,identifiedDate,sampleID,sampleCode_x,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition_x,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF_x,publicationDate_x,release_x,uid_y,domainID_y,siteID_y,namedLocation_y,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate_y,eventID,boutNumber,sampleCode_y,sampleCondition_y,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF_y,publicationDate_y,release_y
335,cdfe789e-9a4c-47b0-b99e-e0f13450a76a,D03,BARC,BARC.AOS.littoral2,2017-02-27T17:00Z,2017-09-11,BARC.20170207.SCHINDLER.3,,,,SIMSP3,Y,Simocephalus sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,,0.625,0.625,0.625,,1,coarse,300.0,49.0,6.0,N,condition OK,N,,Pennak 1989,N,EcoAnalysts Inc.,,M. Hill,subsamplePercent = 16.31,,legacyData,20231227T033242Z,RELEASE-2024,a5077051-9ba8-4073-ad81-8c9167fc9388,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10.0,WGS84,27.1,1,lake,2017-02-27T17:00Z,2017-02-27T17:00Z,BARC.20170227,1,,,NEON.DOC.001194vF,,,,Schindler-Patalas,3,2.0,24.0,0.5,0.5,,,echartrand@neoninc.org,kludwig@field-ops.org,legacyData,20231227T033242Z,RELEASE-2024
438,acb7c325-f8cb-44aa-8e35-48dd27e4df4c,D03,BARC,BARC.AOS.littoral1,2017-10-31T16:07Z,2018-03-19,BARC.20171031.SCHINDLER.2,,,,SIMSP3,Y,Simocephalus sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,1.18,1.18,1.18,,1,coarse,450.0,5.0,90.0,N,"damaged, affecting taxonomy",Y,,Dodson et al 2010,N,EcoAnalysts Inc.,,K. Schnake,,,,20231227T042625Z,RELEASE-2024,e62bd53a-bc9d-485a-8cc6-29331055b105,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10.0,WGS84,26.0,1,lake,2017-10-31T16:07Z,2017-10-31T16:07Z,BARC.20171031,3,,,NEON.DOC.001194vF,,,,Schindler-Patalas,2,3.0,36.0,0.5,1.3,2.1,,jcampbell@field-ops.org,kludwig@field-ops.org,,20231227T042625Z,RELEASE-2024
616,4770c4da-35e3-4e02-b523-3a5bad7cf98b,D03,BARC,BARC.AOS.littoral2,2019-02-15T15:02Z,2019-09-08,BARC.20190215.TOWNET.3,A00000037178,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.55,0.675,0.592,,3,coarse,380.0,4.0,300.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T172523Z,RELEASE-2024,59c7319e-c364-40c0-8c75-a13891df263c,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10.0,WGS84,27.1,1,lake,2019-02-15T15:02Z,2019-02-15T15:02Z,BARC.20190215,1,A00000037178,,NEON.DOC.001194vD,,,,tow net,3,2.0,613.2,4.2,4.2,,,kross@BattelleEcology.org,fsanchez@battelleecology.org,,20231227T172523Z,RELEASE-2024
630,20826242-549b-4899-a6a6-3221e7865e09,D03,BARC,BARC.AOS.buoy.c0,2019-02-15T15:02Z,2019-09-08,BARC.20190215.TOWNET.1,A00000037205,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.5,1.1,0.69,,33,coarse,530.0,4.0,4620.0,N,condition OK,Y,,Dodson et al 2010,Y,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T172523Z,RELEASE-2024,b079ad08-1a0d-48c4-8624-2df371c5d59b,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10.0,10.0,WGS84,27.0,10,lake,2019-02-15T15:02Z,2019-02-15T15:02Z,BARC.20190215,1,A00000037205,,NEON.DOC.001194vD,,,,tow net,1,2.0,978.2,6.7,6.7,,,kross@BattelleEcology.org,fsanchez@battelleecology.org,,20231227T172523Z,RELEASE-2024
645,7da3f821-7fd5-4ef3-a5c0-d745b64e4c1c,D03,BARC,BARC.AOS.littoral1,2019-02-15T15:02Z,2019-09-08,BARC.20190215.TOWNET.2,A00000037203,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.5,0.65,0.542,,6,coarse,430.0,10.0,264.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T172523Z,RELEASE-2024,980f3d63-e516-457a-8b7a-030312ca5014,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10.0,WGS84,26.0,1,lake,2019-02-15T15:02Z,2019-02-15T15:02Z,BARC.20190215,1,A00000037203,,NEON.DOC.001194vD,,,,tow net,2,2.0,613.2,4.2,4.2,,,kross@BattelleEcology.org,fsanchez@battelleecology.org,,20231227T172523Z,RELEASE-2024
729,bcd416ce-364f-4ec1-89f7-6058eccbc6b5,D03,BARC,BARC.AOS.buoy.c1,2020-02-11T15:49Z,2020-07-13,BARC.20200211.TOWNET.1,A00000075521,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.5,0.875,0.621,,14,coarse,500.0,3.0,2240.0,N,condition OK,Y,,Pennak 1989,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T215135Z,RELEASE-2024,03cb4dec-c0d9-481e-8e5f-342a667d98c3,D03,BARC,BARC.AOS.buoy.c1,29.675982,-82.008414,10.0,10.0,WGS84,27.0,10,lake,2020-02-11T15:49Z,2020-02-11T15:49Z,BARC.20200211,1,A00000075521,,NEON.DOC.001194vJ,,OK - no known exceptions,,tow net,1,2.0,365.0,0.5,4.5,,,0000-0002-7940-8177,0000-0001-6607-7236,,20231227T215135Z,RELEASE-2024
758,7bf17f69-6dd4-45a5-bf4a-8eb49bfff824,D03,BARC,BARC.AOS.littoral2,2020-02-11T15:49Z,2020-07-13,BARC.20200211.SCHINDLER.3,A00000075519,,,SIMSP3,Y,Simocephalus sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.85,0.85,0.85,,1,coarse,480.0,150.0,3.0,N,condition OK,Y,,Dodson et al 2010,Y,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,"A large number of copepod nauplii were lost during the QC process, no changes were made to the original data set.",,,20231227T215135Z,RELEASE-2024,abc2d58a-b3b9-4fe2-a850-12cdd655afe6,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10.0,WGS84,27.1,1,lake,2020-02-11T15:49Z,2020-02-11T15:49Z,BARC.20200211,1,A00000075519,,NEON.DOC.001194vJ,,OK - no known exceptions,,Schindler-Patalas,3,2.0,24.0,0.5,1.5,,,0000-0002-7940-8177,0000-0001-6607-7236,,20231227T215135Z,RELEASE-2024
810,d2883b18-6840-47f9-8daf-6a3a026ccefd,D03,BARC,BARC.AOS.buoy.c0,2020-07-06T14:55Z,2020-09-26,BARC.20200706.TOWNET.3,A00000131369,,,DAPAMB,Y,Daphnia ambigua,,species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.75,0.75,0.75,,1,coarse,530.0,1.0,400.0,N,condition OK,Y,,Dodson et al 2010,N,EcoAnalysts Inc.,EcoAnalysts,K. Schnake,,,,20231227T205121Z,RELEASE-2024,835a36b4-ba28-4c81-aa82-348397205896,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10.0,10.0,WGS84,27.0,10,lake,2020-07-06T14:55Z,2020-07-06T14:55Z,BARC.20200706,2,A00000131369,,NEON.DOC.001194vD,,OK - no known exceptions,N,tow net,3,2.0,657.0,4.5,4.5,,,0000-0001-6607-7236,0000-0002-7940-8177,,20231227T205121Z,RELEASE-2024
1008,a1b6717c-8140-4255-9432-2eaa4c725f10,D03,BARC,BARC.AOS.littoral2,2022-02-16T14:25Z,2022-08-11,BARC.20220216.SCHINDLER.3,A00000316701,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.8,0.8,0.8,,1,coarse,315.0,3.0,105.0,N,condition OK,Y,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,,,,20231229T044751Z,PROVISIONAL,c524d9c6-dc5d-4f78-ae9c-1d381c1c7f0d,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10.0,WGS84,27.1,1,lake,2022-02-16T14:25Z,2022-02-16T14:25Z,BARC.20220216,1,A00000316701,,NEON.DOC.001194vJ,,OK - within bout window,Y,Schindler-Patalas,3,3.0,36.0,0.5,1.4,2.2,Max depth 2.7m,0000-0002-0425-3262,0000-0001-9076-6525,,20231229T044751Z,PROVISIONAL
1021,8d48cb21-e5bd-4967-8a67-7c89ac188b50,D03,BARC,BARC.AOS.buoy.c0,2022-02-16T14:25Z,2022-08-10,BARC.20220216.TOWNET.1,A00000316702,,,DAPSP1,Y,Daphnia sp.,,genus,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,,,Diplostraca,Anomopoda,,Daphniidae,,,,N,0.6,1.0,0.8,,49,coarse,545.0,1.0,26705.0,N,condition OK,Y,,"Thorp and Rogers, 2016",N,"Rhithron Associates, Inc.",,B. Moore,,,,20231229T044751Z,PROVISIONAL,c84971f0-56d3-4f6b-8cdf-6a1014684ad0,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10.0,10.0,WGS84,27.0,10,lake,2022-02-16T14:25Z,2022-02-16T14:25Z,BARC.20220216,1,A00000316702,,NEON.DOC.001194vJ,,OK - within bout window,N,tow net,1,2.0,627.8,4.3,4.3,,,0000-0002-0425-3262,0000-0001-9076-6525,,20231229T044751Z,PROVISIONAL
