uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,additionalCoordUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,startDate,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,affectedByWind,samplerType,sampleNumber,towsTrapsNumber,towsTrapsVolume,zooDepth1,zooDepth2,zooDepth3,remarks,recordedBy,collectedBy,dataQF,publicationDate,release
b8dfc476-34c7-4ed0-972d-d1ae52613846,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2014-07-02T16:00Z,2014-07-02T16:00Z,BARC.20140702,2,BARC.IN.20140702.ZOO,,,NEON.DOC.001194vC,,,,tow net,2,2,525.6,3.6,3.6,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T225809Z,RELEASE-2024
63e324a2-835c-401a-a3ce-dbdcd1bc32b7,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2014-07-02T16:00Z,2014-07-02T16:00Z,BARC.20140702,2,BARC.OUT.20140702.ZOO,,,NEON.DOC.001194vC,,,,Schindler-Patalas,3,2,24,1,1,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T225809Z,RELEASE-2024
f259230f-d369-4f9b-a124-e38ab2be5ffc,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2014-07-02T16:00Z,2014-07-02T16:00Z,BARC.20140702,2,BARC.BOUY.20140702.ZOO,,,NEON.DOC.001194vC,,,,tow net,1,2,686.2,4.7,4.7,,,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T225809Z,RELEASE-2024
c0feacff-ccdb-4e92-bccb-7d4784901864,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,,WGS84,26,1,lake,2014-10-29T16:00Z,2014-10-29T16:00Z,BARC.20141029,3,BARC.20141029.SAMPLINGIMPRACTICAL.2,,,NEON.DOC.001194vC,logistical,other,,,2,,,,,,early sampling bout not completed,sparker@battelleecology.org,sparker@battelleecology.org,legacyData,20231226T223005Z,RELEASE-2024
30ae1fd0-72b0-4a09-b2e3-ada0fa7d6ce5,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,,WGS84,27.1,1,lake,2014-10-29T16:00Z,2014-10-29T16:00Z,BARC.20141029,3,BARC.20141029.SAMPLINGIMPRACTICAL.3,,,NEON.DOC.001194vC,logistical,other,,,3,,,,,,early sampling bout not completed,sparker@battelleecology.org,sparker@battelleecology.org,legacyData,20231226T223005Z,RELEASE-2024
2775e538-4637-457c-8359-15ab49f656a2,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,,WGS84,27,10,lake,2014-10-29T16:00Z,2014-10-29T16:00Z,BARC.20141029,3,BARC.20141029.SAMPLINGIMPRACTICAL.1,,,NEON.DOC.001194vC,logistical,other,,,1,,,,,,early sampling bout not completed,sparker@battelleecology.org,sparker@battelleecology.org,legacyData,20231226T223005Z,RELEASE-2024
eb48b9a6-3ed6-4c7d-b02c-2e304e23e395,D03,BARC,BARC.AOS.littoral1,29.677479,-82.00771,1.1,10,WGS84,26,1,lake,2015-02-18T17:00Z,2015-02-18T17:00Z,BARC.20150218,1,BARC.20150218.TOW.2,,,NEON.DOC.001194vC,,,,tow net,2,3,328.5,1.5,1.5,1.5,1.5m tow length,jeells@neoninc.org,cfoster@neoninc.org,legacyData,20231226T235337Z,RELEASE-2024
b2030253-2865-4055-9c0c-aa05def743b3,D03,BARC,BARC.AOS.buoy.c0,29.675982,-82.008414,10,10,WGS84,27,10,lake,2015-02-18T17:00Z,2015-02-18T17:00Z,BARC.20150218,1,BARC.20150218.TOW.1,,,NEON.DOC.001194vC,,,,tow net,1,3,547.5,2.5,2.5,2.5,2.5m length of tow,jeells@neoninc.org,cfoster@neoninc.org,legacyData,20231226T235337Z,RELEASE-2024
3c9be998-97e4-4b7a-a861-4d90b5081488,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2015-02-18T17:00Z,2015-02-18T17:00Z,BARC.20150218,1,BARC.20150218.SCHINDLER.3,,,NEON.DOC.001194vC,,,,Schindler-Patalas,3,2,24,0.5,1.5,,"",jeells@neoninc.org,cfoster@neoninc.org,legacyData,20231226T235337Z,RELEASE-2024
40d3e237-cd1d-4080-980a-c65d4844f188,D03,BARC,BARC.AOS.littoral2,29.674748,-82.008401,1.1,10,WGS84,27.1,1,lake,2015-07-01T16:00Z,2015-07-01T16:00Z,BARC.20150701,2,BARC.20150701.SCHINDLER.3,,,NEON.DOC.001194vD,,,,Schindler-Patalas,3,2,24,0.5,0.5,,excessive algae - cannot sample deeper than 0.5m,ksandusky@neoninc.org,cfoster@neoninc.org,legacyData,20231226T232535Z,RELEASE-2024
