uid,domainID,siteID,namedLocation,collectDate,sortDate,sampleID,sampleCode,mixedZooVialID,mixedZooVialCode,testProtocolVersion,subsampleType,zooVolumePerBottle,zooSubsampleVolume,notSubsampled,qcEnumerationDifference,qcTaxonomicDifference,laboratoryName,sortedBy,benchRemarks,dataQF,publicationDate,release
b78acf87-1f70-4181-b2cb-ddb149c091f1,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,,BARC.BOUY.20140702.ZOO,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,1000,32,N,,,EcoAnalysts Inc.,5LtHEfC81k8=,,,20231226T225809Z,RELEASE-2024
f54e2723-96c5-4fdd-8fe9-ba94e75c9fc8,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,,BARC.IN.20140702.ZOO,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,1000,13.5,N,,,EcoAnalysts Inc.,5LtHEfC81k8=,,,20231226T225809Z,RELEASE-2024
83caad43-7352-4d99-83f1-d07a705d281d,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,,BARC.OUT.20140702.ZOO,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,1000,113.8,N,,,EcoAnalysts Inc.,5LtHEfC81k8=,,,20231226T225809Z,RELEASE-2024
c960bd73-4cc8-4b2d-94e3-69546453536b,D03,BARC,BARC.AOS.buoy.c0,2015-02-18T17:00Z,,BARC.20150218.TOW.1,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,500,87.5,N,,,EcoAnalysts Inc.,5LtHEfC81k8=,,,20231226T235337Z,RELEASE-2024
6f1c6ea3-da55-45c5-a109-bd1563aaa14c,D03,BARC,BARC.AOS.littoral1,2015-02-18T17:00Z,,BARC.20150218.TOW.2,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,500,115.8,N,,,EcoAnalysts Inc.,5LtHEfC81k8=,,,20231226T235337Z,RELEASE-2024
922672ad-f2c6-4887-ba50-5b72011ec6c5,D03,BARC,BARC.AOS.littoral2,2015-02-18T17:00Z,,BARC.20150218.SCHINDLER.3,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,500,500,N,,,EcoAnalysts Inc.,5LtHEfC81k8=,,,20231226T235337Z,RELEASE-2024
ac00c24d-ae65-401f-9ec2-159b17875100,D03,BARC,BARC.AOS.littoral1,2015-07-01T16:00Z,,BARC.20150701.SCHINDLER.2,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,,,N,,,EcoAnalysts Inc.,FEi5gNx/9hV5ag5fVWLkHw==,Percent Subbed measured by weight not volume; subsamplePercent = 1,,20231226T232535Z,RELEASE-2024
5829da43-f199-40ef-a6c3-f8a5cf5c76eb,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,,BARC.20150701.TOW.1,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,,,N,,,EcoAnalysts Inc.,FEi5gNx/9hV5ag5fVWLkHw==,Percent Subbed measured by weight not volume; subsamplePercent = 0.01,,20231226T232535Z,RELEASE-2024
fbd009c5-0045-4186-8073-a10da3532147,D03,BARC,BARC.AOS.littoral1,2015-07-01T16:00Z,,BARC.20150701.SCHINDLER.2,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,,,N,,,EcoAnalysts Inc.,FEi5gNx/9hV5ag5fVWLkHw==,Percent Subbed measured by weight not volume. subsamplePercent = 1,,20231226T232535Z,RELEASE-2024
5ca7efdc-38dc-4714-9b0b-930b45daca3d,D03,BARC,BARC.AOS.buoy.c0,2015-07-01T16:00Z,,BARC.20150701.TOW.1,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,,,N,,,EcoAnalysts Inc.,FEi5gNx/9hV5ag5fVWLkHw==,Percent Subbed measured by weight not volume. subsamplePercent = 0.01,,20231226T232535Z,RELEASE-2024
8b8ebdc7-71b7-4a37-bcfc-820bb7f6e2c7,D03,BARC,BARC.AOS.littoral2,2015-07-01T16:00Z,,BARC.20150701.SCHINDLER.3,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,,,N,,,EcoAnalysts Inc.,FEi5gNx/9hV5ag5fVWLkHw==,Percent Subbed measured by weight not volume; subsamplePercent = 1,,20231226T232535Z,RELEASE-2024
a69da817-f9ee-4c68-a7fe-774749fe22e6,D03,BARC,BARC.AOS.buoy.c0,2015-11-05T17:00Z,,BARC.20151105.TOW.1,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,240,0.3,N,,,EcoAnalysts Inc.,L154fgqSHVzC1PbMix8Y8A==,subsamplePercent = 0.13,,20231226T233633Z,RELEASE-2024
baec05eb-448a-4f3e-83f0-5320308661cf,D03,BARC,BARC.AOS.littoral1,2015-11-05T17:00Z,,BARC.20151105.TOW.2,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,340,2.8,N,,,EcoAnalysts Inc.,L154fgqSHVzC1PbMix8Y8A==,subsamplePercent = 0.83,,20231226T233633Z,RELEASE-2024
d9a38898-b673-4fbc-beb5-2635dcfcaced,D03,BARC,BARC.AOS.littoral2,2015-11-05T17:00Z,,BARC.20151105.SCHINDLER.3,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,260,39,N,,,EcoAnalysts Inc.,L154fgqSHVzC1PbMix8Y8A==,subsamplePercent = 15,,20231226T233633Z,RELEASE-2024
d6d3e2d4-793d-40a5-a281-f35c5976ed98,D03,BARC,BARC.AOS.buoy.c0,2016-02-19T17:00Z,,BARC.20160219.TOW.1,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,100,1.3,N,,,EcoAnalysts Inc.,L154fgqSHVzC1PbMix8Y8A==,subsamplePercent = 1.25,,20231227T013756Z,RELEASE-2024
42964d7c-c457-4955-ab8e-46b1c0f631b6,D03,BARC,BARC.AOS.littoral1,2016-02-19T17:00Z,,BARC.20160219.SCHINDLER.2,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,260,117,N,,,EcoAnalysts Inc.,L154fgqSHVzC1PbMix8Y8A==,subsamplePercent = 45,,20231227T013756Z,RELEASE-2024
57d38ae1-eee9-412a-b670-a7b168a733a2,D03,BARC,BARC.AOS.littoral1,2016-02-19T17:00Z,,BARC.20160219.SCHINDLER.2,,,,ECOANALYSTS_Zooplankton_Identification_Revision2,,260,117,N,,,EcoAnalysts Inc.,L154fgqSHVzC1PbMix8Y8A==,Percent Subbed measured by weight not volume. subsamplePercent = 45,,20231227T013756Z,RELEASE-2024
