uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
a518d03a-e61e-44da-b0fe-acfa95c09f76,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,LEPSP32,Y,Lepadella sp.,"",genus,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lepadellidae,,,"",N,0.062,0.062,0.062,,1,coarse,1000,32,31,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
c74f378f-c81f-4d60-af04-1c5fafbb6a1f,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,CYCSP,Y,Cyclopoida sp.,copepodites,order,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Podoplea,Cyclopoida,"",,"",,,"",N,0.375,0.425,0.4,,2,coarse,1000,13,149,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
8231832a-6499-487f-b698-e095ffadf2f3,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,ACRHAR,Y,Acroperus harpae,"",species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,Anomopoda,,Chydoridae,,,"",N,0.375,0.375,0.375,,1,coarse,1000,13,74,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
31823479-0367-4908-a5b5-6f578bec0099,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,PTYBRA,Y,Ptygura brachiata,"",species,Rotifera,"",Monogonta,,Monogononta,"",Gnesiotrocha,Flosculariaceae,"",,Flosculariidae,,,"",N,0.188,0.188,0.188,,100,coarse,1000,114,879,N,condition OK,Y,,"Edmondson, 1949",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
8b4cd3b3-fa9f-4f45-bd61-c3e3943aab4e,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,ACRHAR,Y,Acroperus harpae,"",species,Arthropoda,Crustacea,Branchiopoda,,Phyllopoda,"","",Diplostraca,Anomopoda,,Chydoridae,,,"",N,0.55,0.575,0.556,,6,coarse,1000,114,53,N,condition OK,Y,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
c3bb97f9-b624-4785-9e0a-de11df7d892a,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,DIPPRO,Y,Dipleuchlanis propatula,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Euchlanidae,,,"",N,0.188,0.188,0.188,,1,coarse,1000,32,31,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
0fdc9514-6a9f-420e-a3a2-e1d49fea6927,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,SKIMIS,Y,Skistodiaptomus mississippiensis,"",species,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,Diaptomidae,,,"",N,0.775,1,0.879,,36,coarse,1000,32,1126,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
e4502902-c403-4c22-95a6-2beb42103c37,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LECLEO,Y,Lecane leontina,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.175,0.175,0.175,,1,coarse,1000,114,9,N,condition OK,Y,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
fdf4f07f-8568-44d8-9670-82e91fa49986,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,ROTSP,Y,Rotifera sp.,"",phylum,Rotifera,"","",,"","","","","",,"",,,"",N,0.162,0.188,0.175,,4,coarse,1000,13,297,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
18263604-cfd5-4201-a3e8-a958b8398944,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,MONBUL,Y,Monostyla bulla,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Lecanidae,,,"",N,0.112,0.112,0.112,,1,coarse,1000,13,74,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
40038a67-474a-4752-9df4-104bb6b5865b,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,HESAUG,Y,Hesperodiaptomus augustaensis,"",species,Arthropoda,Crustacea,Maxillopoda,,Copepoda,Neocopepoda,Gymnoplea,Calanoida,"",,Diaptomidae,,,"",N,0.9,1.075,1.005,,29,coarse,1000,13,2156,N,condition OK,Y,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
aab39217-167a-4e97-ad15-9087fa7a6100,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,GASSTY,Y,Gastropus stylifer,"",species,Rotifera,"",Monogonta,,Monogononta,"",Pseudotrocha,Ploima,"",,Gastropodidae,,,"",N,0.062,0.062,0.062,,1,coarse,1000,13,74,N,condition OK,Y,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
