uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,referencePhotoID,referencePhotoCode,taxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,superfamily,family,subfamily,genus,specificEpithet,infraspecificEpithet,nauplii,zooMinimumLength,zooMaximumLength,zooMeanLength,zooWidth,individualCount,subsampleType,zooVolumePerBottle,zooSubsampleVolume,adjCountPerBottle,indeterminateSpecies,sampleCondition,distinctTaxon,taxonDatabaseID,taxonDatabaseName,identificationQualifier,identificationReferences,qcChecked,laboratoryName,internalLabName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF,publicationDate,release
b66887b6-bffc-409b-b89c-f7c6690de516,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,TRISIM,Y,Trichocerca similis,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Trichocercidae,,,,N,0.125,0.125,0.125,,3,coarse,1000,13,223,N,condition OK,Y,59079,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
29921bda-a69e-4046-adf5-b8233b6599fe,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,SKIMIS,Y,Skistodiaptomus mississippiensis,"",,Arthropoda,,Maxillopoda,,,,,Calanoida,,,Diaptomidae,,,,N,0.775,1,0.879,,36,coarse,1000,32,1126,N,condition OK,Y,666977,ITIS,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
eb9a8671-8ce0-489a-bcc3-8190160e42c6,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,MACSP4,Y,Macrothricidae sp.,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Macrothricidae,,,,N,0.35,0.375,0.362,,4,coarse,1000,114,35,N,condition OK,Y,,"",,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
f005babe-0b7a-489c-b484-b09ae9d7d463,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,GASSTY,Y,Gastropus stylifer,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Gastropodidae,,,,N,0.062,0.062,0.062,,1,coarse,1000,13,74,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
f16b81cd-ed09-4edc-ab44-554000ad9f2c,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,ROTSP,Y,Rotifera sp.,"",,Rotifera,,"",,,,,"",,,"",,,,N,0.162,0.188,0.175,,4,coarse,1000,13,297,N,condition OK,Y,58239,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
fe237771-0af3-4df2-a5b6-3f160aa6a479,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,OXYSP3,Y,Oxyurella sp.,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Chydoridae,,,,N,0.3,0.3,0.3,,2,coarse,1000,114,18,N,condition OK,Y,84063,ITIS,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
67f46f42-e6ba-4358-ae17-4ded8d30a5ec,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,TROPRA1,Y,Tropocyclops prasinus mexicanus,"",,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,Cyclopidae,,,,N,0.35,0.412,0.396,,10,coarse,1000,114,88,N,condition OK,Y,,"",,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
3dddfb61-d364-462f-9217-73d0329d7fd6,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,ACRHAR,Y,Acroperus harpae,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Chydoridae,,,,N,0.375,0.375,0.375,,1,coarse,1000,13,74,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
635d3fb6-0f13-43ed-855b-7a459cfa6b39,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,TRISIM,Y,Trichocerca similis,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Trichocercidae,,,,N,0.125,0.125,0.125,,6,coarse,1000,32,188,N,condition OK,Y,59079,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
c8da476f-e446-4c36-b012-83db66e9fb57,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,CHYSPH,Y,Chydorus sphaericus,"",,Arthropoda,,Branchiopoda,,,,,Diplostraca,,,Chydoridae,,,,N,0.225,0.275,0.25,,4,coarse,1000,114,35,N,condition OK,Y,,"",,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
3db4be5d-6b9d-487d-9be0-3fba569224db,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,PTYBRA,Y,Ptygura brachiata,"",,Rotifera,,Eurotatoria,,,,,Flosculariaceae,,,Flosculariidae,,,,N,0.188,0.188,0.188,,100,coarse,1000,114,879,N,condition OK,Y,59335,ITIS,,"Edmondson, 1949",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
a3327480-e647-4540-9f83-7998efa6795b,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,LECLEO,Y,Lecane leontina,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.175,0.175,0.175,,1,coarse,1000,114,9,N,condition OK,Y,,"",,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
d89c3c3c-9e41-4a6e-b2b5-f7ff23d007be,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,ROTSP,Y,Rotifera sp.,"",,Rotifera,,"",,,,,"",,,"",,,,N,0.262,0.375,0.308,,29,coarse,1000,114,255,N,condition OK,Y,58239,ITIS,,"Stemberger, 1979",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
143cd7f9-493b-481f-964c-300d5a5f2433,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,CALSP1,Y,Calanoida sp.,"",,Arthropoda,,Maxillopoda,,,,,Calanoida,,,"",,,,N,0.875,0.875,0.875,,1,coarse,1000,114,9,Y,condition OK,Y,85258,ITIS,,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
2a1966e9-81ee-4bb3-b892-086f57aee5bb,D03,BARC,BARC.AOS.littoral2,2014-07-02T16:00Z,2015-03-09,BARC.OUT.20140702.ZOO,,,,COPSP,Y,Copepoda sp.,nauplii,,Arthropoda,,Maxillopoda,,,,,"",,,"",,,,Y,0.15,0.188,0.173,,45,coarse,1000,114,396,N,condition OK,Y,,"",,"Dodson et al., 2010",Y,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
03f8d03f-6a98-456a-8cd5-1c5967276a3b,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,HESAUG,Y,Hesperodiaptomus augustaensis,"",,Arthropoda,,Maxillopoda,,,,,Calanoida,,,Diaptomidae,,,,N,0.9,1.075,1.005,,29,coarse,1000,13,2156,N,condition OK,Y,666939,ITIS,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
8a8dd9b5-f9db-43d7-bdb1-b9cc6ace1bc7,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,LEPSP32,Y,Lepadella sp.,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lepadellidae,,,,N,0.062,0.062,0.062,,1,coarse,1000,32,31,N,condition OK,Y,58488,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
25d6222f-84e1-41f3-8b45-412958a2a4f6,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,LECMIR,Y,Lecane mira,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,1,coarse,1000,32,31,N,condition OK,Y,58639,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
6b927bdc-0e0d-4daf-9cd4-a9a285b6ffc5,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,LECMIR,Y,Lecane mira,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.112,0.112,0.112,,4,coarse,1000,13,297,N,condition OK,Y,58639,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
e6fc8fbc-a291-4e97-843a-0ad5d08631d3,D03,BARC,BARC.AOS.littoral1,2014-07-02T16:00Z,2015-03-09,BARC.IN.20140702.ZOO,,,,CYCSP,Y,Cyclopoida sp.,copepodites,,Arthropoda,,Maxillopoda,,,,,Cyclopoida,,,"",,,,N,0.375,0.425,0.4,,2,coarse,1000,13,149,N,condition OK,Y,,"",,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
abc87428-d27d-49db-bf38-92d6a53b67db,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,HESAUG,Y,Hesperodiaptomus augustaensis,"",,Arthropoda,,Maxillopoda,,,,,Calanoida,,,Diaptomidae,,,,N,0.9,1.075,1.021,,28,coarse,1000,32,876,N,condition OK,Y,666939,ITIS,,"Dodson et al., 2010",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
152264d3-815f-4273-acb0-a5f36d2b6266,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,LECINE,Y,Lecane inermis,"",,Rotifera,,Eurotatoria,,,,,Ploima,,,Lecanidae,,,,N,0.125,0.125,0.125,,4,coarse,1000,32,125,N,condition OK,Y,,"",,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
d5b8b9d6-9374-448a-9815-2ad827b10db0,D03,BARC,BARC.AOS.buoy.c0,2014-07-02T16:00Z,2015-03-09,BARC.BOUY.20140702.ZOO,,,,ROTSP,Y,Rotifera sp.,"",,Rotifera,,"",,,,,"",,,"",,,,N,0.188,0.212,0.196,,3,coarse,1000,32,94,N,condition OK,Y,58239,ITIS,,"Stemberger, 1979",N,EcoAnalysts Inc.,EcoAnalysts,mhill,,,legacyData,20231226T225809Z,RELEASE-2024
